X,Y,LICENSE,APPLICANT,TRADE_NAME,CLASS,ADDRESS,ZIPCODE,WARD,ANC,SMD,STATUS,TYPE,BREW_PUB,ENTERTAINMENT,SALES_CONSUMPTION,SIDEWALK_CAFE,SUMMER_GARDEN,TASTING,WINE_PUB,COVERCHARGE,DANCING,OFFPREMISESTORAGE,STORAGEFACILITY,DISTILLERY_PUB,TOTAL_CAPACITY,GAMES_OF_SKILL,SPORTS_WAGGERING,CARRYOUT_DELIVERY,MAR_ID,XCOORD,YCOORD,LONGITUDE,LATITUDE,GIS_ID,GLOBALID,CREATOR,CREATED,EDITOR,EDITED,OBJECTID
-76.9658423997745,38.8761557985567,ABRA-060231,O'Connors Liquor Incorporated,O'Connor's Liquors,A,2900 MINNESOTA AVENUE SE,20019,Ward 7,ANC 7B,SMD 7B01,Active,Retail - Liquor Store,,,,,,,,,,,,,,,,,287311,402964.15,134258.1,-76.96584013,38.87614835,ABRALicenseePt_223,{4C4B39CA-3843-421F-84F9-96A4FA49B9E4},JLAY,2022/08/31 18:04:53+00,JLAY,2022/08/31 18:04:53+00,5023
-77.0446401843481,38.9011622245012,ABRA-060242,"Venus Indo Services, Inc.",Pan Mar Liquors,A,1926 I STREET NW,20006,Ward 2,ANC 2B,SMD 2B06,Active,Retail - Liquor Store,,,,,,CHECKED,,,,,,,,,,,241080,396128,137034.4,-77.04463789,38.90115477,ABRALicenseePt_224,{64775B5F-1A28-4FCC-BEEB-29A092AE0BE4},JLAY,2022/08/31 18:04:53+00,JLAY,2022/08/31 18:04:53+00,5024
-77.0848428260528,38.9330900803566,ABRA-060249,"Chef Geoff's, LLC",Chef Geoff's,C,3201 NEW MEXICO AVENUE NW,20016,Ward 3,ANC 3D,SMD 3D08,Active,Restaurant,,,,CHECKED,,,,,,,,,225,,,CHECKED,223998,392644.02,140581.13,-77.08484051,38.93308229,ABRALicenseePt_225,{4D62E7BC-F0A9-4455-9932-F533658989D7},JLAY,2022/08/31 18:04:53+00,JLAY,2022/08/31 18:04:53+00,5025
-77.0275851123076,38.8967402470073,ABRA-060256,"Tosca, LLC",Tosca,C,555 12TH STREET NW,20004,Ward 2,ANC 2C,SMD 2C01,Active,Restaurant,,,,,,,,,,,,,145,,,,239135,397607.25,136542.94,-77.02758282,38.89673279,ABRALicenseePt_226,{4EF4670F-6702-4DBF-8A49-11536C455A85},JLAY,2022/08/31 18:04:53+00,JLAY,2022/08/31 18:04:53+00,5026
-77.0162922747093,38.9563482345399,ABRA-060270,"Northwest Liquors, Inc.",Northwest Liquors,A,300 KENNEDY STREET NW,20011,Ward 4,ANC 4D,SMD 4D02,Active,Retail - Liquor Store,,,,,,,,,,,,,,,,,249474,398588.06,143159.7,-77.01628998,38.95634077,ABRALicenseePt_227,{C4EDABD5-A2CA-45A1-A6E2-A8D244A99D44},JLAY,2022/08/31 18:04:53+00,JLAY,2022/08/31 18:04:53+00,5027
-77.0490721651066,38.9045262392799,ABRA-060273,"MPE Hotel I (Washington), LLC",Ritz Carlton Washington DC,C,1150 22ND STREET NW,20037,Ward 2,ANC 2A,SMD 2A06,Active,Hotel,,CHECKED,,CHECKED,,,,,CHECKED,,,,195,,,CHECKED,278889,395743.76,137408.03,-77.04906987,38.90451879,ABRALicenseePt_228,{68D32801-8631-4B1A-93FB-3313C7F6BBD5},JLAY,2022/08/31 18:04:53+00,JLAY,2022/08/31 18:04:53+00,5028
-76.9486780909684,38.9220762232292,ABRA-060290,"Premium Distributors Of Washington DC, LLC",Premium Distributors,A,3500 FORT LINCOLN DRIVE NE,20018,Ward 5,ANC 5C,SMD 5C03,Active,Wholesaler,,,,,,CHECKED,,,,,,,,,,,289765,404450.68,139356.33,-76.94867582,38.92206843,ABRALicenseePt_229,{F8A5A48A-C1EF-4184-A25C-8C1DD188E1D6},JLAY,2022/08/31 18:04:53+00,JLAY,2022/08/31 18:04:53+00,5029
-77.0192530107811,38.8996638702721,ABRA-060298,"Irish Channel, LLC",Irish Channel Restaurant,C,500 H STREET NW,20001,Ward 2,ANC 2C,SMD 2C03,About to Expire,Tavern,,CHECKED,,CHECKED,,,,CHECKED,,,,,185,,,,242981,398330.11,136867.3,-77.01925072,38.89965642,ABRALicenseePt_230,{7FF7F248-2A0C-4675-8519-EB874F31ACA0},JLAY,2022/08/31 18:04:53+00,JLAY,2022/08/31 18:04:53+00,5030
-77.0207006841761,38.8860529635894,ABRA-060306,J. J. Sun Corporation,Sun's Gallery,B,600 MARYLAND AVENUE SW,20024,Ward 6,ANC 6D,SMD 6D01,Active,Retail - Grocery,,,,,,,,,,,,,,,,,5831,398204.19,135356.41,-77.0206984,38.88604518,ABRALicenseePt_231,{1E6EB836-6A20-4C29-9ED9-66ADAF55B57A},JLAY,2022/08/31 18:04:53+00,JLAY,2022/08/31 18:04:53+00,5031
-77.0497744174354,38.9034060234732,ABRA-060309,The George Washington University,One Washington Circle Hotel/Circle Bistro,C,1 WASHINGTON CIRCLE NW,20037,Ward 2,ANC 2A,SMD 2A06,Safekeeping,Hotel,,,,,CHECKED,,,,,,,,151,,,,242366,395682.78,137283.71,-77.04977212,38.90339824,ABRALicenseePt_232,{D863D3E2-0239-4ECF-95CB-31BA24FBE559},JLAY,2022/08/31 18:04:53+00,JLAY,2022/08/31 18:04:53+00,5032
