Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A00002_001,SE_A00002_002,SE_A00002_003
"11001005502","Census Tract 55.02, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000101",,,,,"11","001",,,"005502",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001005502","Census Tract 55.02",,,,2652,27332.25,0.097028248779531
"11001005503","Census Tract 55.03, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000102",,,,,"11","001",,,"005503",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001005503","Census Tract 55.03",,,,2256,27388.52,0.0823702658081814
"11001005601","Census Tract 56.01, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000103",,,,,"11","001",,,"005601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001005601","Census Tract 56.01",,,,2388,33376.1,0.071548207945365
"11001005602","Census Tract 56.02, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000104",,,,,"11","001",,,"005602",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001005602","Census Tract 56.02",,,,4178,39566.09,0.105595469940401
"11001005801","Census Tract 58.01, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000105",,,,,"11","001",,,"005801",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001005801","Census Tract 58.01",,,,1992,22147.39,0.0899428877662754
"11001005802","Census Tract 58.02, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000106",,,,,"11","001",,,"005802",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001005802","Census Tract 58.02",,,,1799,6827.063,0.263510101205102
"11001005900","Census Tract 59, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000107",,,,,"11","001",,,"005900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001005900","Census Tract 59",,,,2437,9831.572,0.247874893628851
"11001006400","Census Tract 64, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000108",,,,,"11","001",,,"006400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001006400","Census Tract 64",,,,2602,9746.965,0.26695490481037
"11001006500","Census Tract 65, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000109",,,,,"11","001",,,"006500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001006500","Census Tract 65",,,,2939,14946.04,0.196640679416275
"11001006600","Census Tract 66, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000110",,,,,"11","001",,,"006600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001006600","Census Tract 66",,,,1986,18038.25,0.110099351811669
"11001006700","Census Tract 67, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000111",,,,,"11","001",,,"006700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001006700","Census Tract 67",,,,4498,27196.33,0.165389955474697
