Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A10030_001,SE_A10030_002,SE_A10030_003,SE_A10030_004,SE_A10030_005,SE_A10030_006,SE_A10030_007,PCT_SE_A10030_002,PCT_SE_A10030_003,PCT_SE_A10030_004,PCT_SE_A10030_005,PCT_SE_A10030_006,PCT_SE_A10030_007
"11001010601","Census Tract 106.01, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000205",,,,,"11","001",,,"010601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001010601","Census Tract 106.01",,,,1181,651,460,70,0,0,0,55.12,38.95,5.93,0,0,0
"11001010602","Census Tract 106.02, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000206",,,,,"11","001",,,"010602",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001010602","Census Tract 106.02",,,,2611,660,1585,366,0,0,0,25.28,60.7,14.02,0,0,0
"11001010603","Census Tract 106.03, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000207",,,,,"11","001",,,"010603",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001010603","Census Tract 106.03",,,,1616,879,710,27,0,0,0,54.39,43.94,1.67,0,0,0
"11001010700","Census Tract 107, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000208",,,,,"11","001",,,"010700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001010700","Census Tract 107",,,,1201,846,328,27,0,0,0,70.44,27.31,2.25,0,0,0
"11001010800","Census Tract 108, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000209",,,,,"11","001",,,"010800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001010800","Census Tract 108",,,,768,639,108,14,0,0,7,83.2,14.06,1.82,0,0,0.91
"11001010900","Census Tract 109, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000210",,,,,"11","001",,,"010900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001010900","Census Tract 109",,,,1293,620,478,161,34,0,0,47.95,36.97,12.45,2.63,0,0
"11001011001","Census Tract 110.01, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000211",,,,,"11","001",,,"011001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001011001","Census Tract 110.01",,,,1459,374,810,196,79,0,0,25.63,55.52,13.43,5.41,0,0
"11001011002","Census Tract 110.02, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000212",,,,,"11","001",,,"011002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001011002","Census Tract 110.02",,,,1077,434,519,124,0,0,0,40.3,48.19,11.51,0,0,0
"11001011100","Census Tract 111, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000213",,,,,"11","001",,,"011100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001011100","Census Tract 111",,,,1941,634,691,465,119,23,9,32.66,35.6,23.96,6.13,1.18,0.46
"11001980000","Census Tract 9800, District of Columbia, District of Columbia","ACSSF","dc","140","00","0000214",,,,,"11","001",,,"980000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US11001980000","Census Tract 9800",,,,5,0,5,0,0,0,0,0,100,0,0,0,0
