Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A01001_001,SE_A01001_002,SE_A01001_003,SE_A01001_004,SE_A01001_005,SE_A01001_006,SE_A01001_007,SE_A01001_008,SE_A01001_009,SE_A01001_010,SE_A01001_011,SE_A01001_012,SE_A01001_013,PCT_SE_A01001_002,PCT_SE_A01001_003,PCT_SE_A01001_004,PCT_SE_A01001_005,PCT_SE_A01001_006,PCT_SE_A01001_007,PCT_SE_A01001_008,PCT_SE_A01001_009,PCT_SE_A01001_010,PCT_SE_A01001_011,PCT_SE_A01001_012,PCT_SE_A01001_013
"110010075032","Block Group 2, Census Tract 75.03, District of Columbia, District of Columbia","ACSSF","dc","150","00","0000559",,,,,"11","001",,,"007503","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010075032","Block Group 2",,,,1322,142,142,122,30,104,318,179,116,113,24,32,0,10.74,10.74,9.23,2.27,7.87,24.05,13.54,8.77,8.55,1.82,2.42,0
"110010075041","Block Group 1, Census Tract 75.04, District of Columbia, District of Columbia","ACSSF","dc","150","00","0000560",,,,,"11","001",,,"007504","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010075041","Block Group 1",,,,1395,50,119,109,132,52,270,128,220,154,80,60,21,3.58,8.53,7.81,9.46,3.73,19.35,9.18,15.77,11.04,5.73,4.3,1.51
"110010075042","Block Group 2, Census Tract 75.04, District of Columbia, District of Columbia","ACSSF","dc","150","00","0000561",,,,,"11","001",,,"007504","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010075042","Block Group 2",,,,1365,220,210,104,24,42,251,124,90,226,30,26,18,16.12,15.38,7.62,1.76,3.08,18.39,9.08,6.59,16.56,2.2,1.9,1.32
"110010076011","Block Group 1, Census Tract 76.01, District of Columbia, District of Columbia","ACSSF","dc","150","00","0000562",,,,,"11","001",,,"007601","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010076011","Block Group 1",,,,721,67,0,0,20,24,153,284,1,113,24,10,25,9.29,0,0,2.77,3.33,21.22,39.39,0.14,15.67,3.33,1.39,3.47
"110010076012","Block Group 2, Census Tract 76.01, District of Columbia, District of Columbia","ACSSF","dc","150","00","0000563",,,,,"11","001",,,"007601","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010076012","Block Group 2",,,,836,84,196,18,0,33,130,88,86,72,90,24,15,10.05,23.44,2.15,0,3.95,15.55,10.53,10.29,8.61,10.77,2.87,1.79
"110010076013","Block Group 3, Census Tract 76.01, District of Columbia, District of Columbia","ACSSF","dc","150","00","0000564",,,,,"11","001",,,"007601","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010076013","Block Group 3",,,,1433,3,131,60,9,46,279,258,208,303,85,45,6,0.21,9.14,4.19,0.63,3.21,19.47,18,14.52,21.14,5.93,3.14,0.42
"110010076014","Block Group 4, Census Tract 76.01, District of Columbia, District of Columbia","ACSSF","dc","150","00","0000565",,,,,"11","001",,,"007601","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010076014","Block Group 4",,,,1178,179,45,81,0,216,91,195,112,95,114,44,6,15.2,3.82,6.88,0,18.34,7.72,16.55,9.51,8.06,9.68,3.74,0.51
"110010076015","Block Group 5, Census Tract 76.01, District of Columbia, District of Columbia","ACSSF","dc","150","00","0000566",,,,,"11","001",,,"007601","5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010076015","Block Group 5",,,,763,28,76,53,0,15,191,48,124,112,45,71,0,3.67,9.96,6.95,0,1.97,25.03,6.29,16.25,14.68,5.9,9.31,0
"110010076031","Block Group 1, Census Tract 76.03, District of Columbia, District of Columbia","ACSSF","dc","150","00","0000567",,,,,"11","001",,,"007603","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010076031","Block Group 1",,,,1357,349,0,31,170,34,250,235,90,46,64,70,18,25.72,0,2.28,12.53,2.51,18.42,17.32,6.63,3.39,4.72,5.16,1.33
"110010076032","Block Group 2, Census Tract 76.03, District of Columbia, District of Columbia","ACSSF","dc","150","00","0000568",,,,,"11","001",,,"007603","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010076032","Block Group 2",,,,433,0,0,0,0,4,89,4,24,127,45,73,67,0,0,0,0,0.92,20.55,0.92,5.54,29.33,10.39,16.86,15.47
