X,Y,OBJECTID,STORE,ADDRESS,XCOORD,YCOORD,MATCHTYPE,MAR_ID,LATITUDE,LONGITUDE,GIS_ID,GLOBALID,CREATOR,CREATED,EDITOR,EDITED
-76.9966621864405,38.8464713336242,62,Martin’s Foodtown,2765 Martin Luther King Jr Ave SE,400289.95,130962.36,Exact,302061,38.84646389,-76.99665991,HealthyCornerStorePt_62,{5EEE9F08-7AEA-4BD2-988E-D3ACF3E3B068},,,,
-76.9974452055127,38.8454873610951,63,Mellon’s Market,2921 Martin Luther King Jr Ave SE,400221.98,130853.13,Exact,278300,38.84547992,-76.99744293,HealthyCornerStorePt_63,{620A07A6-8520-400E-8A1D-77C01FAA8346},,,,
-76.9983122160591,38.844364104821,64,Smiley Mart,3019 Martin Luther King Jr Ave SE,0,0,Manual,,,,HealthyCornerStorePt_64,{F11B8C28-8B66-4FFA-9A76-814CDCB2A99E},,,,
-76.9975854672462,38.8433943418042,65,Liff’s Market,600 Alabama Ave SE,400209.81,130620.79,Exact,294492,38.8433869,-76.99758319,HealthyCornerStorePt_65,{2B5F7649-659B-42D5-826A-AA39F6D4FAD9},,,,
-77.0030830088719,38.8424139365761,66,MLK Mini Mart,3333 MLK Jr. Ave SE,399732.55,130511.96,Exact,36102,38.84240649,-77.00308073,HealthyCornerStorePt_66,{A443322D-258E-417A-B504-8575BECA5899},,,,
-76.9939683779504,38.8391956425786,67,Holiday Market,3509 Wheeler Rd SE,400523.85,130154.72,Exact,147495,38.8391882,-76.9939661,HealthyCornerStorePt_67,{C065A8DA-C13E-4820-B5A9-84458F4A724F},,,,
-76.9902168077882,38.8335635711615,68,Wheeler Market,4133 Wheeler Rd SE,400849.62,129529.55,Exact,300965,38.83355613,-76.99021453,HealthyCornerStorePt_68,{ADEF8534-4F1A-4B51-AB66-7FD970AF3394},,,,
-77.0085782293588,38.8320022288004,69,Secrets of Nature,3923 South Capitol St SW,399255.38,129356.22,Exact,276603,38.83199479,-77.00857595,HealthyCornerStorePt_69,{29756F73-F854-42C4-8C12-E7D778125586},,,,
-76.9982925049701,38.8290055052552,70,Chesapeake Big Market,601 Chesapeake St SE,400148.46,129023.53,Exact,151054,38.82899807,-76.99829023,HealthyCornerStorePt_70,{ACB1A1CC-ADB2-4977-B255-710EFE123821},,,,
-77.0075528964335,38.8258953691158,71,Elmira Grocery,4401 South Capitol Street SW,399344.35,128678.31,Exact,299727,38.82588793,-77.00755062,HealthyCornerStorePt_71,{B521A46A-D853-4EC3-83DF-C207EBB2CD5E},,,,
