Store Name,Store Type,Geometry,Latitude,Longitude,Address
Domino's,fast food,"38.92185691040236, -77.07221388936613",38.921856910402,-77.072213889366,"2330 Wisconsin Ave NW, Washington, DC 20007"
Domino's,fast food,"38.90582872166041, -77.04543471510974",38.905828721660,-77.045434715110,"2029 K St NW, Washington, DC 20006"
Domino's,fast food,"38.96778432030187, -77.02706694880516",38.967784320302,-77.027066948805,"6239 Georgia Ave NW, Washington, DC 20011"
Domino's,fast food,"38.92719883547168, -77.03153014435581",38.927198835472,-77.031530144356,"2701 14th St NW, Washington, DC 20009"
Domino's,fast food,"38.90476004704933, -77.02947020794782",38.904760047049,-77.029470207948,"1300 L St NW, Washington, DC 20005"
Domino's,fast food,"38.932139757721, -77.00423598461212",38.932139757721,-77.004235984612,"208 Michigan Ave NE, Washington, DC 20017"
Domino's,fast food,"38.91037040889774, -77.00320601640813",38.910370408898,-77.003206016408,"1335 2nd St NE, Washington, DC 20002"
Domino's,fast food,"38.87857249357611, -76.99324965692969",38.878572493576,-76.993249656930,"900 M St SE, Washington, DC 20003"
Papa Johns,fast food,"38.95148282900891, -77.08008885597658",38.951482829009,-77.080088855977,"4656 Wisconsin Ave, Washington, DC 20016"
Papa Johns,fast food,"38.96229529111572, -77.0285046103936",38.962295291116,-77.028504610394,"5764 Georgia Ave NW, Washington, DC 20011"
Papa Johns,fast food,"38.90193800013648, -77.0151150229611",38.901938000136,-77.015115022961,"313 H St NW, Washington, DC 20001"
Papa Johns,fast food,"38.92704859863146, -76.98610425062034",38.927048598631,-76.986104250620,"1348 Brentwood Rd NE, Washington, DC 20018"
Papa Johns,fast food,"38.881629319166144, -76.99228406011305",38.881629319166,-76.992284060113,"914 11th St SE, Washington, DC 20003"
Papa Johns,fast food,"38.8988820480821, -76.94918632537517",38.898882048082,-76.949186325375,"4020 Minnesota Ave NE Ste 114, Washington, DC 20019"
